Transaction ID,Items Purchased
1,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
2,"Eggs, Cheese, Chips, Sugar"
3,"Cheese, Chips, Sugar"
4,"Milk, Eggs, Cheese, Chips, Sugar"
5,"Eggs, Cheese, Chips, Sugar"
6,"Eggs, Cheese, Chips, Sugar"
7,"Milk, Eggs, Cheese, Chips, Sugar"
8,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
9,"Cheese, Chips, Sugar"
10,"Chips, Sugar"
11,"Bread, Milk, Eggs"
12,"Bread, Milk, Eggs, Cheese, Sugar"
13,"Bread, Milk, Eggs,"
14,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
15,"Chips, Sugar"
16,"Bread, Milk, Sugar"
17,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
18,"Bread, Milk, Sugar"
19,"Bread, Milk, Eggs, Cheese, Sugar"
20,"Eggs, Cheese, Chips, Sugar"
21,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
22,"Cheese, Chips, Sugar"
23,"Milk, Eggs, Cheese, Chips, Sugar"
24,"Bread, Milk, Cheese, Chips, Sugar"
25,"Cheese, Chips, Sugar"
26,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
27,"Cheese, Chips, Sugar"
28,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
29,"Cheese, Chips, Sugar"
30,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
31,"Bread, Milk, Eggs, Sugar"
32,"Chips, Sugar"
33,"Eggs, Cheese, Chips, Sugar"
34,"Eggs, Cheese, Chips, Sugar"
35,"Cheese, Chips, Sugar"
36,"Milk, Eggs, Cheese, Chips, Sugar"
37,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
38,"Bread, Milk, Eggs, Cheese, Chips, Sugar"
39,"Milk, Eggs, Cheese, Chips, Sugar"
40,"Cheese, Chips, Sugar"
